Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Gummy Stem Blight (Didymella bryoniae),Ridge Gourd (Luffa);Cucumber;Squash,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Foot and Stem Rot (Phytophthora nicotianae var. parasitica),Roselle;Hibiscus,25,30,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; High soil moisture; Soilborne"
Leaf Spot (Cercospora hibisci; Alternaria spp.),Roselle;Hibiscus,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Powdery Mildew (Oidium abelmoschi),Roselle;Okra;Hibiscus,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Root Rot (Rhizoctonia solani; Fusarium spp.),Roselle,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris"
Powdery Mildew (Erysiphe spp. / Golovinomyces spp.),Rosemary;Sage,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Root Rot (Phytophthora spp.; Pythium spp.; Rhizoctonia solani),Rosemary;Lavender;Many Herbs,15,28,80,95,15,35,55,90,6.0-7.5,"Poor drainage; Overwatering; Heavy soils; Cool to moderate temperatures (Phytophthora, Pythium)"
Botrytis Blight / Gray Mold (Botrytis cinerea),Rosemary;Many Herbs;Flowers,18,24,90,100,15,35,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Poor air circulation; Affects dense foliage, stems"
South American Leaf Blight (SALB - Microcyclus ulei),Rubber,24,28,95,100,25,50,55,85,4.5-6.0,"Warm temperatures; Very high humidity/rain essential for infection/sporulation; Affects young leaves; Major limiting factor in Americas"
Powdery Mildew (Oidium heveae),Rubber,25,30,70,90,5,20,40,70,5.0-6.5,"Dry periods with high humidity (dew) favor infection; Affects young leaves, flowers, causes leaf fall"
Bird's Eye Spot (Bipolaris heveae / Drechslera heveae),Rubber,25,30,85,95,15,35,45,75,5.0-6.5,"Warm, humid conditions; Affects leaves, especially in nurseries"
Pink Disease (Corticium salmonicolor / Erythricium salmonicolor),Rubber;Mango;Citrus;Jackfruit,25,30,90,100,25,50,55,85,5.0-6.5,"High humidity; High rainfall (monsoon); Affects bark of branches, causing dieback; Forms pink crust"
Colletotrichum Leaf Disease (Colletotrichum gloeosporioides),Rubber,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects leaves, especially during refoliation"
Powdery Mildew (Blumeria graminis f.sp. secalis),Rye;Triticale,15,22,70,90,5,20,30,60,5.5-7.0,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; High nitrogen fertilization"
Stem Rust (Puccinia graminis f.sp. secalis),Rye;Barberry (alternate host),20,30,95,100,10,25,45,75,5.5-7.0,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal; Barberry needed for sexual cycle"
Leaf Rust (Puccinia recondita f.sp. secalis / P. dispersa),Rye,15,25,95,100,10,25,45,75,5.5-7.0,"Cool to moderate temperatures; High humidity/dew essential for infection; Wind dispersal"
Ergot (Claviceps purpurea),Rye;Wheat;Barley;Triticale;Grasses,15,20,90,100,15,30,50,80,5.5-7.0,"Cool, wet weather during flowering; Replaces kernels with sclerotia (ergots); Produces sticky honeydew"
Take-all (Gaeumannomyces graminis var. tritici/avenae),Rye;Wheat;Barley;Triticale,12,18,70,90,10,25,45,75,6.0-8.0,"Cool, moist soil; Favored by alkaline soils, poor fertility, continuous cereal cropping; Affects roots (black rot)"
Alternaria Leaf Spot / Blight (Alternaria carthami),Safflower,20,30,85,98,15,35,40,70,6.0-7.5,"Warm, humid conditions; Leaf wetness; Rain splash; Seedborne/debris-borne"
Rust (Puccinia carthami),Safflower,18,25,90,100,10,25,40,70,6.0-7.5,"Moderate temperatures; Dew or light rain for infection; Wind dispersal; Can infect seedlings (systemic) or leaves"
Fusarium Wilt (Fusarium oxysporum f.sp. carthami),Safflower,24,30,70,90,10,25,40,80,6.0-7.5,"Warm soil temperatures; Soilborne; Persists in soil for years; Plant stress can increase severity"
Root Rot (Phytophthora drechsleri),Safflower,25,30,85,100,15,35,60,90,6.0-7.5,"Warm soil temperatures; Poorly drained or irrigated heavy soils; Waterlogging"
Corm Rot (Fusarium oxysporum f.sp. gladioli; Rhizoctonia crocorum),Saffron,15,25,75,95,10,30,45,80,6.0-7.5,"Cool to moderate soil temperatures; Poor drainage; Infected corms; Soilborne fungi"
Violet Root Rot (Rhizoctonia crocorum / Helicobasidium purpureum),Saffron;Carrot;Beet;Asparagus,15,20,80,95,15,30,50,85,6.0-7.5,"Cool, moist soil; Soilborne; Forms purplish mycelial mat over corms/roots"
Bacterial Soft Rot (Pectobacterium carotovorum),Saffron (storage),20,30,95,100,0,10,70,95,6.0-7.5,"Warm temperatures; High humidity; Poor storage conditions; Wounds on corms"
Powdery Mildew (Erysiphe spp. / Golovinomyces spp.),Sage;Rosemary,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Downy Mildew (Peronospora spp.),Sage;Related Lamiaceae,10,20,90,100,10,30,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness; Similar to basil downy mildew"
Root Rot (Pythium spp.; Rhizoctonia solani),Sage;Mint;Many Herbs,18,28,80,95,15,35,55,90,6.0-7.5,"Poor drainage; Overwatering; Infected soil or pots"
Charcoal Rot / Stem Rot (Macrophomina phaseolina),Sesame;Soybean;Sunflower;Jute;Many Crops,30,35,60,80,5,20,30,60,5.5-7.5,"High soil temperatures; Drought stress often predisposes; Soilborne sclerotia (long survival)"
Phytophthora Blight (Phytophthora nicotianae var. parasitica),Sesame,25,30,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; High soil moisture; Soilborne"
Bacterial Leaf Spot (Pseudomonas syringae pv. sesami; Xanthomonas campestris pv. sesami),Sesame,25,30,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Seedborne"
Cercospora Leaf Spot (Cercospora sesami),Sesame,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Alternaria Leaf Spot (Alternaria sesami),Sesame,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness; Plant stress; Seedborne/debris-borne"
Downy Mildew (Peronospora destructor),Shallot;Onion;Garlic;Leek;Chive,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential (dew, rain > 3 hours); Wind dispersal; Systemic infection possible"
Purple Blotch (Alternaria porri),Shallot;Onion;Leek,21,30,90,100,15,30,50,80,5.5-7.0,"Warm temperatures; High humidity; Leaf wetness (dew, rain > 10 hours); Plant stress; Often follows other injury (thrips, ozone)"
White Rot (Sclerotium cepivorum),Shallot;Onion;Garlic;Leek;Chive,15,20,80,95,10,25,50,80,5.0-7.0,"Cool soil temperatures; Soilborne sclerotia (long survival); High soil moisture favors sclerotia germination; Very persistent"
Basal Rot (Fusarium oxysporum f.sp. cepae),Shallot;Onion;Garlic,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Enters through roots or wounds in basal plate; Can cause storage rot"
Leaf Scorch / Zebra Disease (Phytophthora nicotianae),Sisal;Agave,25,30,85,95,15,35,45,75,6.0-8.0,"Warm, humid conditions; Rain splash; Affects leaves causing lesions, sometimes basal rot"
Basal Stem Rot (Aspergillus niger),Sisal;Agave,25,35,70,90,5,20,40,70,6.0-8.0,"High temperatures; Stress (drought, poor nutrition); Enters through wounds at the base"
Anthracnose (Colletotrichum agaves),Sisal;Agave,24,30,85,98,20,40,50,80,6.0-8.0,"Warm, humid conditions; Rain splash; Affects leaves causing sunken lesions"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Snake Gourd;Cucumber;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Downy Mildew (Pseudoperonospora cubensis),Snake Gourd;Cucumber;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal"
Anthracnose (Colletotrichum lagenarium/orbiculare),Snake Gourd;Cucumber;Watermelon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Anthracnose (Colletotrichum graminicola / C. sublineola),Sorghum;Corn;Sugarcane,25,30,90,100,15,35,50,80,5.5-7.5,"Warm temperatures; High humidity; Rain splash; Affects leaves (midrib lesions common), stalks, panicles; Seed/debris-borne"
Grain Mold Complex (Fusarium spp.; Curvularia spp.; Alternaria spp.; Phoma spp.),Sorghum,25,35,85,100,20,40,50,80,5.5-7.5,"High humidity and rainfall during flowering and grain fill; Insect damage can worsen; Affects grain quality/yield"
Charcoal Rot (Macrophomina phaseolina),Sorghum;Corn;Soybean;Sunflower;Many Crops,30,35,60,80,5,20,30,60,5.5-7.5,"High soil temperatures; Drought stress (especially post-flowering); Soilborne sclerotia (long survival); Causes stalk lodging"
Downy Mildew (Peronosclerospora sorghi),Sorghum;Corn;Sudangrass,20,28,90,100,15,35,55,85,6.0-7.5,"High humidity; Moderate temperatures; Soilborne oospores; Can cause systemic infection (leaf striping, crazy top)"
Ergot (Claviceps africana),Sorghum,20,25,90,100,15,30,50,80,6.0-7.5,"Cool, wet weather during flowering; Replaces seeds with sclerotia (ergots); Produces sticky honeydew; Spreads rapidly"
Anthracnose (Colletotrichum gloeosporioides),Soursop (Annona);Custard Apple;Mango;Avocado,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects fruit (causing black spots/rot), flowers, leaves"
Root Rot (Phytophthora spp.; Pythium spp.),Soursop (Annona),20,30,85,95,15,35,55,90,5.0-6.5,"Poor drainage; Waterlogged soils; Infected soil/planting material"
Pink Disease (Corticium salmonicolor / Erythricium salmonicolor),Soursop (Annona);Mango;Citrus;Rubber,25,30,90,100,25,50,55,85,5.0-6.5,"High humidity; High rainfall; Affects bark of branches, causing dieback; Forms pink crust"
Leaf Spot (Cylindrocladium spp. / Pseudocercospora spp.),Soursop (Annona);Custard Apple,25,30,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Phytophthora Root & Stem Rot (Phytophthora sojae),Soybean,25,30,90,100,15,35,65,95,6.0-7.5,"Warm soil temperatures; High soil moisture; Poorly drained, compacted soils; Soilborne oospores (long survival)"
Frogeye Leaf Spot (Cercospora sojina),Soybean,25,30,90,100,15,30,50,80,5.5-7.0,"Warm temperatures; High humidity; Long periods of leaf wetness; Rain splash; Overwinters on residue/seed"
Sudden Death Syndrome (SDS - Fusarium virguliforme),Soybean,15,21,80,95,15,35,55,85,5.5-6.5,"Cool, wet conditions early season favor root infection; Symptoms (foliar) appear later in warmer weather; Often associated with Soybean Cyst Nematode"
Soybean Rust (Phakopsora pachyrhizi / P. meibomiae),Soybean;Other Legumes (kudzu),20,28,90,100,10,25,45,75,5.5-7.5,"Moderate temperatures; High humidity/leaf wetness essential for infection (6+ hours); Wind dispersal (long distances)"
Sclerotinia Stem Rot / White Mold (Sclerotinia sclerotiorum),Soybean;Canola;Bean;Sunflower;Many Broadleaf Crops,15,25,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions during flowering; High humidity within canopy; Dense canopy; Soilborne sclerotia germinate to produce apothecia"
Powdery Mildew (Blumeria graminis f.sp. tritici),Spelt;Wheat;Triticale;Barley,15,22,70,90,5,20,30,60,6.0-7.5,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; High nitrogen fertilization"
Leaf Rust (Puccinia triticina / P. recondita f.sp. tritici),Spelt;Wheat;Triticale,15,25,95,100,10,25,45,75,6.0-7.5,"Cool to moderate temperatures; High humidity/dew essential for infection; Wind dispersal"
Stem Rust (Puccinia graminis f.sp. tritici),Spelt;Wheat;Triticale;Barberry (alternate host),20,30,95,100,10,25,45,75,6.0-7.5,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal; Barberry needed for sexual cycle"
Septoria Leaf Blotch / Glume Blotch (Septoria tritici / Parastagonospora nodorum),Spelt;Wheat;Triticale,15,25,85,100,15,35,50,80,5.5-7.5,"Cool to moderate temperatures (S. tritici) or warmer (P. nodorum); High humidity; Rain splash; Overwinters on residue/seed"
Downy Mildew (Peronospora farinosa f.sp. spinaciae),Spinach;Beet,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential; Wind dispersal; Seedborne/soilborne oospores; Many races exist"
Anthracnose (Colletotrichum spinaciae / C. dematium),Spinach,20,25,90,100,15,30,50,80,6.0-7.5,"Moderate temperatures; High humidity; Rain splash; Seedborne/debris-borne"
White Rust (Albugo occidentalis),Spinach,12,22,85,95,10,25,40,70,6.0-7.5,"Cool, moist weather; Dew or fog; Leaf wetness; Systemic infection possible"
Cladosporium Leaf Spot (Cladosporium variabile),Spinach,15,20,85,95,10,30,45,75,6.0-7.5,"Cool to moderate temperatures; High humidity; Leaf wetness; Overwinters on debris/seed"
Fusarium Wilt (Fusarium oxysporum f.sp. spinaciae),Spinach,24,28,70,90,10,25,40,80,6.0-7.5,"Warm soil temperatures; Soilborne; Persists in soil; Acidic soils may favor"
Leaf Spot (Septoria steviae; Alternaria steviae),Stevia,20,28,85,95,15,30,45,75,5.5-7.0,"Moderate to warm temperatures; High humidity; Rain splash; Leaf wetness"
Southern Blight / Stem Rot (Sclerotium rolfsii),Stevia;Tomato;Peanut;Many Broadleaf Crops,25,35,85,95,15,30,50,85,5.0-7.0,"High temperature; High soil moisture alternating with dry periods; Soilborne sclerotia; Affects stem at soil line"
Root Rot (Pythium spp.; Rhizoctonia solani),Stevia,18,28,80,95,15,35,55,90,5.5-7.0,"Poor drainage; Overwatering; Infected soil or pots"
Gray Mold (Botrytis cinerea),Strawberry;Raspberry;Grape;Lettuce (Wide Host Range),18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Poor air circulation; Affects blossoms, developing/ripe fruit, leaves; Overwinters as sclerotia"
Anthracnose Fruit Rot / Crown Rot (Colletotrichum acutatum/gloeosporioides/fragariae),Strawberry;Blueberry;Almond,20,30,90,100,20,40,50,80,5.0-6.5,"Warm, wet weather; Rain splash; High humidity (>12 hours); Affects all parts, fruit rot, crown rot, leaf spots"
Leather Rot / Red Stele Root Rot (Phytophthora cactorum / P. fragariae),Strawberry,15,25,90,100,20,40,60,90,5.0-6.5,"Cool, wet soils (Red Stele); Moderate temps, wet conditions (Leather Rot); Poor drainage; Water splash; Soilborne oospores"
Powdery Mildew (Podosphaera aphanis),Strawberry,15,27,70,95,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (but not free water); Reduced air flow; Affects leaves (curl upwards), flowers, fruit"
Leaf Spot / Scorch / Blight (Mycosphaerella fragariae / Diplocarpon earlianum / Phomopsis obscurans),Strawberry,20,25,85,95,10,30,40,70,5.5-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinter on infected leaves/debris"
Cercospora Leaf Spot (Cercospora beticola),Sugar Beet;Beetroot;Swiss Chard,25,30,90,100,15,30,50,80,6.0-7.5,"Warm temperatures; High humidity; Frequent rain/dew; Leaf wetness duration (8+ hours); Overwinters on debris/seed/weeds"
Rhizoctonia Root & Crown Rot (Rhizoctonia solani),Sugar Beet;Beetroot;Bean,20,30,80,95,10,30,55,85,6.0-7.5,"Warm soil temperatures; High soil moisture followed by drying can favor; Soilborne; Affects seedlings and mature roots"
Root Rot (Aphanomyces cochlioides),Sugar Beet;Beetroot,18,25,85,100,15,35,60,90,6.0-7.5,"Cool to moderate soil temperatures; High soil moisture; Poor drainage; Soilborne oospores (long survival)"
Fusarium Yellows (Fusarium oxysporum f.sp. betae),Sugar Beet,24,28,70,90,10,25,40,80,6.0-7.5,"Warm soil temperatures; Soilborne; Persists in soil; Often occurs with other root diseases"
Beet Curly Top Virus (BCTV),Sugar Beet;Beetroot;Tomato;Bean;Pepper,25,35,50,80,5,25,30,65,6.0-8.0,"Vector presence (Beet Leafhopper - Circulifer tenellus); Warm temperatures favor vector activity; Causes stunting, leaf curl, yellowing"
Red Rot (Colletotrichum falcatum / Glomerella tucumanensis),Sugarcane,25,32,85,95,15,35,45,75,5.0-7.0,"Warm temperatures; High humidity; Enters through wounds (borers, nodes); Affects stalks internally; Seedborne (in setts)"
Smut (Sporisorium scitamineum),Sugarcane,25,30,60,80,10,25,35,70,5.0-7.5,"Warm temperatures; Affects apical bud, producing long whip-like structure full of spores; Spreads via wind, infected setts"
Pineapple Disease (Ceratocystis paradoxa / Thielaviopsis paradoxa),Sugarcane;Pineapple;Coconut,25,30,75,90,10,25,40,75,5.0-6.5,"Affects planted setts causing rot before germination; Enters cut ends/wounds; Soilborne/sett-borne"
Leaf Scald (Xanthomonas albilineans),Sugarcane,25,30,80,95,15,35,40,75,5.0-7.5,"Warm temperatures; Systemic bacterial disease; Spread via infected setts, cutting tools; Causes leaf striping, wilting"
Rust (Puccinia melanocephala / P. kuehnii),Sugarcane,20,26,90,100,10,25,45,75,5.0-7.5,"Moderate temperatures; High humidity/dew essential for infection; Wind dispersal; Affects leaves"
Sclerotinia Head Rot / Stem Rot (Sclerotinia sclerotiorum),Sunflower;Canola;Soybean;Bean;Many Broadleaf Crops,15,25,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions during flowering (head rot) or earlier (stem rot); High humidity; Dense canopy; Soilborne sclerotia"
Downy Mildew (Plasmopara halstedii),Sunflower,15,20,90,100,10,30,55,85,6.0-7.5,"Cool temperatures for infection; High soil moisture; Systemic infection via roots early season; Soilborne oospores (long survival)"
Rust (Puccinia helianthi),Sunflower,20,30,95,100,10,25,40,70,6.0-7.5,"Warm temperatures; Dew or rain required for infection; Wind dispersal; Autoecious (completes life cycle on sunflower)"
Phomopsis Stem Canker (Diaporthe helianthi / D. gulyae),Sunflower,20,27,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity/rainfall after flowering; Overwinters on residue; Rain splash"
Charcoal Rot (Macrophomina phaseolina),Sunflower;Corn;Soybean;Sorghum;Many Crops,30,35,60,80,5,20,30,60,5.5-7.5,"High soil temperatures; Drought stress (especially post-flowering); Soilborne sclerotia (long survival); Causes stalk lodging"
Wilt (Fusarium udum f.sp. crotalariae),Sunn Hemp,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Poor drainage can exacerbate"
Anthracnose (Colletotrichum curvatum),Sunn Hemp,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Seedborne; Affects stems, leaves"
Leaf Spot (Cercospora spp.),Sunn Hemp,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Powdery Mildew (Oidium spp.),Sunn Hemp,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Scurf (Monilochaetes infuscans),Sweet Potato,25,30,85,95,10,25,50,80,5.0-6.5,"Warm temperatures; High humidity; Affects skin of storage roots (cosmetic); Soilborne/slip-borne"
Black Rot (Ceratocystis fimbriata),Sweet Potato,23,27,85,95,10,30,45,75,5.0-6.5,"Moderate temperatures; High humidity; Soilborne/slip-borne; Affects storage roots (field and storage), stems"
Stem Rot / Wilt (Fusarium oxysporum f.sp. batatas),Sweet Potato,28,32,70,90,10,25,40,80,5.0-6.5,"High soil temperatures; Soilborne; Persists in soil; Spread via infected slips/vines, soil"
Soft Rot (Rhizopus stolonifer / R. oryzae),Sweet Potato (storage),20,30,95,100,0,10,70,95,4.5-6.0,"Warm temperatures; High humidity; Requires wounds (harvesting, handling); Rapid rot in storage"
Sweet Potato Virus Disease (SPVD - Complex of SPFMV & SPLCV),Sweet Potato,25,35,50,85,5,25,30,70,5.0-7.0,"Requires dual infection by Sweet potato feathery mottle virus (SPFMV - aphid vectored) and Sweet potato leaf curl virus (SPLCV - whitefly vectored) for severe symptoms"
Anthracnose (Colletotrichum graminicola),Sweet Sorghum;Sorghum;Corn,25,30,90,100,15,35,50,80,5.5-7.5,"Warm temperatures; High humidity; Rain splash; Affects leaves, stalks (red rot phase)"
Charcoal Rot (Macrophomina phaseolina),Sweet Sorghum;Sorghum;Corn;Soybean,30,35,60,80,5,20,30,60,5.5-7.5,"High soil temperatures; Drought stress; Soilborne sclerotia; Causes stalk lodging"
Grain Mold Complex (Fusarium spp.; Curvularia spp.; Alternaria spp.),Sweet Sorghum (if grown for grain),25,35,85,100,20,40,50,80,5.5-7.5,"High humidity and rainfall during flowering and grain fill; Affects grain quality/yield"
Downy Mildew (Peronosclerospora sorghi),Sweet Sorghum;Sorghum;Corn,20,28,90,100,15,35,55,85,6.0-7.5,"High humidity; Moderate temperatures; Soilborne oospores; Can cause systemic infection"
Powdery Mildew (Oidium spp. / Erysiphe polygoni),Tamarind,25,30,70,90,5,20,35,65,5.5-7.5,"Dry conditions with high relative humidity (dew); Affects leaves, flowers, young pods"
Leaf Spot (Pestalotiopsis spp.; Phomopsis spp.),Tamarind,22,30,80,95,15,35,40,75,5.5-7.5,"Warm, humid conditions; Rain splash; Plant stress; Poor air circulation"
Sooty Mold (Capnodium spp. / Meliola spp.),Tamarind;Mango;Citrus;Guava,20,30,70,90,10,25,35,65,5.5-8.0,"Presence of honeydew-producing insects (aphids, scale, mealybugs); High humidity hinders washing off"
Taro Leaf Blight (Phytophthora colocasiae),Taro;Cocoyam,20,28,95,100,25,50,60,90,5.0-6.5,"Warm temperatures; Very high humidity/rainfall; Water splash; Wind dispersal; Rapidly spreads, very destructive"
Pythium Root & Corm Rot (Pythium spp.),Taro,20,30,85,95,15,35,60,90,5.0-6.5,"Poor drainage; Waterlogged soils (paddy or upland); Infected planting material (corms)"
Dasheen Mosaic Virus (DsMV - Potyvirus),Taro;Cocoyam;Other Aroids,20,30,50,80,5,25,30,65,5.5-7.5,"Aphid vector presence (non-persistent); Mechanical transmission; Spread via infected planting material"
Brown Blister Blight (Exobasidium vexans),Tea,17,23,95,100,15,35,50,80,4.5-6.0,"Cooler temperatures; Very high humidity/mist/light rain essential for infection; Affects young leaves/shoots"
Gray Blight (Pestalotiopsis theae),Tea,20,28,85,95,15,30,45,75,4.5-6.0,"Moderate temperatures; High humidity; Often affects older/stressed leaves or after injury (hail, pruning)"
Red Rust (Algal disease - Cephaleuros virescens/parasiticus),Tea;Guava;Mango;Citrus,25,30,90,100,20,40,50,85,4.5-6.0,"High humidity; High rainfall; Poor air circulation; Parasitic alga affecting leaves/stems"
Root Rot Complex (Armillaria mellea; Poria hypolateritia; Rosellinia arcuata),Tea,18,28,75,95,15,35,50,85,4.5-6.0,"Variable temperature optima; Poor drainage; Tree stress; Infected soil/root debris"
Rust (Uromyces eragrostidis),Teff,20,28,85,95,10,25,40,70,5.5-7.0,"Warm temperatures; Dew or rain for infection; Wind dispersal"
Head Smut (Ustilago eragrostidis),Teff,25,30,60,85,10,20,35,65,5.5-7.0,"Warm temperatures during flowering; Replaces kernels with smut sori"
Leaf Spot (Bipolaris spp.; Alternaria spp.),Teff,20,30,85,95,15,30,40,70,5.5-7.0,"Warm, humid conditions; Leaf wetness; Plant stress"
Root Rot (Pythium spp.; Rhizoctonia solani),Thyme;Mint;Many Herbs,18,28,80,95,15,35,55,90,6.0-7.5,"Poor drainage; Overwatering; Infected soil or pots"
Botrytis Blight / Gray Mold (Botrytis cinerea),Thyme;Many Herbs;Flowers,18,24,90,100,15,35,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Poor air circulation; Affects dense foliage, stems"
Alternaria Stem Canker (Alternaria alternata f.sp. thymi),Thyme,20,28,80,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity; Affects stems causing cankers, dieback"
Late Blight (Phytophthora infestans),Tomato;Potato,12,24,90,100,10,30,50,80,5.5-7.0,"Cool to moderate temperatures; High humidity; Leaf wetness essential; Spreads rapidly via wind/rain; Overwinters in potato tubers/debris/volunteers"
Early Blight (Alternaria linariae / formerly A. solani),Tomato;Potato;Eggplant,24,29,85,95,15,30,40,70,5.5-7.5,"Moderate to warm temperatures; High humidity; Leaf wetness (dew, rain); Plant stress (nutrient, maturity); Overwinters on debris/seed"
Septoria Leaf Spot (Septoria lycopersici),Tomato,20,25,85,95,15,30,45,75,6.0-7.5,"Moderate temperatures; High humidity; Rain splash; Leaf wetness; Overwinters on debris/weeds (Solanum spp.)"
Fusarium Wilt (Fusarium oxysporum f.sp. lycopersici),Tomato,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor; Races exist"
Verticillium Wilt (Verticillium dahliae/albo-atrum),Tomato;Potato;Eggplant;Pepper;Many Crops,21,27,70,90,10,25,40,75,6.0-7.5,"Cooler soil temperatures favor infection, symptoms express in warmer weather; Soilborne microsclerotia (long survival)"
Powdery Mildew (Blumeria graminis f.sp. tritici / secalis),Triticale;Wheat;Rye;Barley,15,22,70,90,5,20,30,60,6.0-7.5,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; High nitrogen fertilization"
Leaf Rust (Puccinia triticina / P. recondita f.sp. tritici/secalis),Triticale;Wheat;Rye,15,25,95,100,10,25,45,75,6.0-7.5,"Cool to moderate temperatures; High humidity/dew essential for infection; Wind dispersal"
Stem Rust (Puccinia graminis f.sp. tritici/secalis),Triticale;Wheat;Rye;Barberry (alternate host),20,30,95,100,10,25,45,75,6.0-7.5,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal; Barberry needed for sexual cycle"
Septoria Leaf Blotch / Glume Blotch (Septoria tritici / Parastagonospora nodorum),Triticale;Wheat;Spelt,15,25,85,100,15,35,50,80,5.5-7.5,"Cool to moderate temperatures (S. tritici) or warmer (P. nodorum); High humidity; Rain splash; Overwinters on residue/seed"
Ergot (Claviceps purpurea),Triticale;Rye;Wheat;Barley;Grasses,15,20,90,100,15,30,50,80,5.5-7.0,"Cool, wet weather during flowering; Replaces kernels with sclerotia (ergots); Produces sticky honeydew"
Rhizome Rot / Soft Rot (Pythium spp.; Fusarium spp.; Erwinia spp.),Turmeric;Ginger;Galangal,25,35,85,100,20,45,60,95,5.5-7.0,"Poor drainage; Waterlogged soils; High temperatures; Wounds on rhizomes; Infected planting material (seed rhizomes)"
Leaf Spot (Colletotrichum capsici / C. curcumae),Turmeric;Ginger,24,30,85,95,15,35,50,80,5.5-6.5,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Leaf Blotch (Taphrina maculans),Turmeric,20,25,90,100,15,30,50,80,5.5-6.5,"Moderate temperatures; High humidity; Rain splash; Causes large yellowish spots on leaves"
Bacterial Wilt (Ralstonia solanacearum),Turmeric;Ginger;Tomato;Potato (Wide Host Range),28,35,80,95,15,35,50,85,5.5-7.0,"High soil temperature and moisture; Soilborne; Persists in soil; Spreads via soil, water, tools, infected rhizomes"
Clubroot (Plasmodiophora brassicae),Turnip;Cabbage;Broccoli;Radish;Other Brassicas,18,25,80,95,15,35,50,85,5.0-6.5,"Cool, wet soils; Acidic soil strongly favors disease; Soilborne pathogen; Long survival of resting spores"
